id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
788,grav-apple,8,12,80,10,100,0,10,2,397,100,-127,,
789,spirit-break,8,18,75,15,100,0,10,2,72,100,-127,,
790,strange-steam,8,18,90,10,95,0,10,3,77,20,-127,,
791,life-dew,8,11,-127,10,-127,0,13,1,441,-127,,-127,
792,obstruct,8,17,-127,10,100,4,7,1,442,-127,,-127,
793,false-surrender,8,17,80,10,-127,0,10,2,18,-127,,-127,
794,meteor-assault,8,2,150,5,100,0,10,2,81,-127,,-127,
795,eternabeam,8,16,160,5,90,0,10,3,81,-127,,-127,
796,steel-beam,8,9,140,5,95,0,10,3,420,-127,,-127,
797,expanding-force,8,14,80,10,100,0,10,3,1,-127,,-127,
798,steel-roller,8,9,130,5,100,0,10,2,1,-127,,-127,
799,scale-shot,8,16,25,20,90,0,10,2,1,-127,,-127,
800,meteor-beam,8,6,120,10,90,0,10,3,1,100,-127,,
801,shell-side-arm,8,4,90,10,100,0,10,3,1,20,-127,,
802,misty-explosion,8,18,100,5,100,0,9,3,1,-127,,-127,
803,grassy-glide,8,12,70,20,100,0,10,2,1,-127,,-127,
804,rising-voltage,8,13,70,20,100,0,10,3,1,-127,,-127,
805,terrain-pulse,8,1,50,10,100,0,10,3,1,-127,,-127,
806,skitter-smack,8,7,70,10,90,0,10,2,1,100,-127,,
807,burning-jealousy,8,10,70,5,100,0,11,3,1,100,-127,,
808,lash-out,8,17,75,5,100,0,10,2,1,-127,,-127,
809,poltergeist,8,8,110,5,90,0,10,2,1,-127,,-127,
810,corrosive-gas,8,4,-127,40,100,0,9,1,1,-127,,-127,
811,coaching,8,2,-127,10,-127,0,13,1,1,100,-127,,
812,flip-turn,8,11,60,20,100,0,10,2,1,-127,,-127,
813,triple-axel,8,15,20,10,90,0,10,2,1,-127,,-127,
814,dual-wingbeat,8,3,40,10,90,0,10,2,1,-127,,-127,
815,scorching-sands,8,5,70,10,100,0,10,3,1,30,-127,,
816,jungle-healing,8,12,-127,10,-127,0,13,1,1,-127,,-127,
817,wicked-blow,8,17,80,5,100,0,10,2,1,-127,,-127,
818,surging-strikes,8,11,25,5,100,0,10,2,1,-127,,-127,
819,thunder-cage,8,13,80,15,90,0,10,3,1,100,-127,,
820,dragon-energy,8,16,150,5,100,0,11,3,1,-127,,-127,
821,freezing-glare,8,14,90,10,100,0,10,3,1,10,-127,,
822,fiery-wrath,8,17,90,10,100,0,11,3,1,20,-127,,
823,thunderous-kick,8,2,90,10,100,0,10,2,1,100,-127,,
824,glacial-lance,8,15,130,5,100,0,11,2,1,-127,,-127,
825,astral-barrage,8,8,120,5,100,0,11,3,1,-127,,-127,
826,eerie-spell,8,14,80,5,100,0,10,3,1,-127,,-127,
10001,shadow-rush,3,10002,55,-127,100,0,10,2,10001,-127,,-127,
10002,shadow-blast,3,10002,80,-127,100,0,10,2,44,-127,,-127,
10003,shadow-blitz,3,10002,40,-127,100,0,10,2,1,-127,,-127,
10004,shadow-bolt,3,10002,75,-127,100,0,10,3,7,10,-127,,
10005,shadow-break,3,10002,75,-127,100,0,10,2,1,-127,,-127,
10006,shadow-chill,3,10002,75,-127,100,0,10,3,6,10,-127,,
10007,shadow-end,3,10002,120,-127,60,0,10,2,10002,-127,,-127,
10008,shadow-fire,3,10002,75,-127,100,0,10,3,5,10,-127,,
10009,shadow-rave,3,10002,70,-127,100,0,6,3,1,-127,,-127,
10010,shadow-storm,3,10002,95,-127,100,0,6,3,1,-127,,-127,
10011,shadow-wave,3,10002,50,-127,100,0,6,3,1,-127,,-127,
10012,shadow-down,3,10002,-127,,100,0,6,1,60,-127,,-127,
10013,shadow-half,3,10002,-127,,100,0,12,3,10003,-127,,-127,
10014,shadow-hold,3,10002,-127,,-127,0,6,1,107,-127,,-127,
10015,shadow-mist,3,10002,-127,,100,0,6,1,10004,-127,,-127,
10016,shadow-panic,3,10002,-127,,90,0,6,1,50,-127,,-127,
10017,shadow-shed,3,10002,-127,,-127,0,12,1,10005,-127,,-127,
10018,shadow-sky,3,10002,-127,,-127,0,12,1,10006,-127,,-127,
